PMID,Title,Authors,Abstract,Publication Year,study_name,included_in_study
15516801,[Wilson's disease and its pharmacological treatment].,"Hisao Hayashi, Rie Suzuki, Shinya Wakusawa","Wilson's disease is an inherited copper toxicosis caused by defective putative copper transporting ATPase in the liver. Because of impaired biliary secretion, copper remains in the liver, resulting in chronic hepatic lesions including fatty metamorphosis, chronic hepatitis and cirrhosis. In the latter stage, extrapyramidal syndromes may develop with and without symptomatic hepatic lesions. Acute liver damage associated with hemolysis and deep jaundice may be the first manifestation. The majority of patients show hypoceruloplasminemia, which has been used as a screening test for the disease. A large number of mutations in the ATP7B gene have been reported. Thus, genetic diagnosis might be limitedly used to presymptomatic diagnosis of siblings when mutations are identified in an index patient. Introduction of penicillamine caused a revolution in the treatment of patients. Another chelater, trientine, is now available for those intolerant of penicillamine. Tetrathiomolibdate and zinc acetate are additional alternatives currently being tested. Hypoceruloplasminemia and further reduction after chelation therapy may be associated with iron overload. This complication is closely related with impaired transport of ferrous ion due to ferroxidase deficiency. Noncompliance and teratogenicity are other major concerns because any treatment with the agents listed above is a life long regimen. Despite various side effects of penicillamine, its teratogenicity is negligible. These data indicate that penicillamine is the first choice of drug for this disease.",2004,Appenzeller-Herzog_2019,0
15272264,Wilson's disease and hemochromatosis.,"Ezequiel Neimark, Michael L Schilsky, Benjamin L Shneider","Wilson's disease (WD) and hereditary hemochromatosis (HH) are two inherited disorders with potentially devastating and life-threatening complications. Their eminent treatability makes diagnosis in adolescence or young adulthood critical. WD is the result of abnormal copper homeostasis, causing copper overload and end-organ damage. Chelation therapy can be highly efficacious in preventing manifestations of WD. HH is caused by inappropriate absorption of dietary iron, typically as the result of a specific mutation, C282Y, in the HFE gene. End-organ disease from iron accumulation is protean and includes progressive damage of the liver, pancreas, skin, heart, and pituitary. It is important to permit therapeutic phlebotomy to commence before the onset of complications.",2004,Appenzeller-Herzog_2019,0
14675255,Wilson's disease with coexisting autoimmune hepatitis.,"Serkan Yener, Mesut Akarsu, Cuneyt Karacanci, Bulent Sengul, Omer Topalak, Kadir Biberoglu, Hale Akpinar",,2004,Appenzeller-Herzog_2019,0
15871305,"Treatment of Wilson's disease with zinc from the time of diagnosis in pediatric patients: a single-hospital, 10-year follow-up study.","Matilde Marcellini, Vincenzo Di Ciommo, Francesco Callea, Rita Devito, Donatella Comparcola, Maria Rita Sartorelli, Giovanni Carelli, Valerio Nobili","Wilson's disease (WD) is an inherited disorder of copper metabolism characterized by a failure of the liver to excrete copper, leading to its accumulation in the liver, brain, cornea, and kidney, with resulting chronic degenerative changes. It is generally accepted that ""presymptomatic"" patients--in whom WD is diagnosed in childhood and who are defined as those who, although still asymptomatic, do have liver disease, as indicated by increased serum concentrations of transaminases--should be treated prophylactically. Here we report our results in 22 children treated with continuous oral zinc therapy for 10 years. Zinc sulfate was administered at a dosage of 25 mg elemental zinc twice a day until the age of 6 years, 25 mg three times a day between the ages of 7 and 16 years or until the child attained a body weight of 125 lb, and 50 mg three times a day thereafter. Five years after the start of zinc treatment, we noted highly significant decreases in alanine aminotransferase (ALT), aspartate aminotransferase (AST), and urinary copper excretion, but white blood cell counts did not vary significantly. Six of 22 patients continued to demonstrate greater-than-normal ALT concentrations and only 1 patient demonstrated an ALT concentration more than 1.5 times the upper normal limit. Further decreases in ALT, AST, and urinary copper excretion were observed at the end of the 10-year follow-up, but these decreases were not statistically significant. Only 1 patient continued to demonstrate abnormal ALT levels. Again, white blood cells showed no significant variations. All histologic scores (steatosis, inflammation, and fibrosis) were significantly decreased after treatment. Hepatic copper content was also significantly decreased, although it remained higher than normal in all patients. The removal of toxic copper was confirmed by disappearance of Kayser-Fleischer rings in 3 patients. Zinc did not have adverse effects on growth. The efficacy of zinc in WD in presymptomatic pediatric patients has been established in previous studies, and our study adds considerably to the earlier findings because it includes a large number of very young children, as many as 11 younger than 6 years and 20 younger than 10. The excellent clinical results in all patients, coupled with the improvement in hepatic histologic findings in the vast majority, indicate convincingly that zinc treatment can control the disease effectively and safely, preventing its progression over the course of 10 years. Histologic findings reportedly improved in 3 patients treated in an earlier study, but our data are numerically much more relevant. Notably, histologic study of the liver revealed that copper concentration was reduced by treatment, suggesting that oral zinc was able not only to prevent further accumulation of copper but also to promote, at least in part, the depletion of its stores. The lack of adverse effects of zinc on growth suggests that our patients received enough anticopper therapy to prevent damage resulting from copper toxicity but an adequate amount of copper for proper growth and development. In conclusion, our findings indicate that zinc is the treatment of choice in presymptomatic pediatric patients with WD.",2005,Appenzeller-Herzog_2019,0
15915361,[Wilson disease].,"D Huster, H-J Kühn, J Mössner, K Caca","Wilson disease is an autosomal recessive inherited disorder of human copper metabolism that leads to neurological symptoms and hepatic damage of variable degree. The affected gene ATP7B encodes a hepatic copper transport protein, which plays a key role in human copper metabolism. Clinical symptoms are complex with neurologic symptoms such as tremor, dysarthria, psychiatric disorders etc., predominant hepatic disease or mixed forms. Copper deposition in the liver results in acute liver failure, chronic hepatitis or liver cirrhosis. Early recognition by means of clinical, biochemical or genetic examination and early initiation of therapy with chelators or zinc-salts are essential for outcome and prognosis. Liver transplantation is an alternative in cases with acute and chronic liver failure and cures the hepatic disease. Frequent monitoring of drug therapy, adverse effects, and compliance is critical for the prognosis of the disease.",2005,Appenzeller-Herzog_2019,0
15698392,Cognition in liver disease.,Alexander Collie,"Cognitive dysfunction has been observed in a range of liver diseases including chronic hepatitis C virus, alcoholic liver disease, primary biliary cirrhosis and Wilson's disease. Such dysfunction may range from mild cognitive changes to overt hepatic encephalopathy, and represents a significant complication of liver disease that may negatively impact the patient's quality of life, and normal activities of daily living (e.g., driving).",2005,Appenzeller-Herzog_2019,0
15929614,[Argyria: new physio-pathological and therapeutic hypothesis].,"Massimo Gunelli, Mariano Barberini, Silvia Bruni, Lia Laghi, Alberto Mazzanti, Loredana Fabbri, Patrizia Maria Baldini, Alessandra Scaramucci, Roberto Ragazzoni, Pietro Muretto, Giorgio Maniscalco","The authors describe a case of sistemic argyria. They suggest a common physiopatologic mechanism with Wilson disease and they consider the utilization of penicillamine as a ligand for the silver, since there are not other available valid treatments.",2005,Appenzeller-Herzog_2019,0
15998441,Efficacy of zinc supplementation in preventing acute hepatitis in Long-Evans Cinnamon rats.,"Valentina Medici, Giacomo Carlo Sturniolo, Alessandro Santon, Renata D'Incà, Marina Bortolami, Romilda Cardin, Daniela Basso, Vincenzo Albergoni, Paola Irato","Long-Evans Cinnamon (LEC) rats are characterized by an abnormal hepatic deposition of copper (Cu) due to a lack of the Cu-transporter P-type adenosine triphosphatase: accordingly, the strain is a good animal model of Wilson's disease. The effect of oral zinc (Zn) acetate treatment on the development of acute hepatitis and the biochemical parameters of Cu-induced liver damage was studied in 5-week-old LEC rats (n=52).",2005,Appenzeller-Herzog_2019,0
16594644,Role of animal models in the study of drug-induced hypersensitivity reactions.,Jack Uetrecht,"Drug-induced hypersensitivity reactions (DHRs) are a major problem, in large part because of their unpredictable nature. If we understood the mechanisms of these reactions better, they might be predictable. Their unpredictable nature also makes mechanistic studies very difficult, especially prospective clinical studies. Animal models are vital to most biomedical research, and they are almost the only way to test basic hypotheses of DHRs, such as the involvement of reactive metabolites. However, useful animal models of DHRs are rare because DHRs are also unpredictable in animals. For example, sulfonamide-induced DHRs in large-breed dogs appear to be valid because they are very similar to the DHRs that occur in humans; however, the incidence is only approximately 0.25%, and large-breed dogs are difficult to use as an animal model. Two more practical models are penicillamine-induced autoimmunity in the Brown Norway rat and nevirapine-induced skin rash in rats. The toxicity in these models is clearly immune mediated. In other models, such as amodiaquine-induced agranulocytosis/hepatotoxicity and halothane-induced hepatotoxicity, the drug induces an immune response but there is no clinical toxicity. This finding suggests that regulatory mechanisms usually limit toxicity. Many of the basic characteristics of the penicillamine and nevirapine models, such as memory and tolerance, are quite different suggesting that the mechanisms are also significantly different. More animal models are needed to study the range of mechanisms involved in DHRs; without them, progress in understanding such reactions is likely to be slow.",2006,Appenzeller-Herzog_2019,0
16305470,"Essentiality, toxicology and chelation therapy of zinc and copper.","Lu Cai, Xiao-Kun Li, Ye Song, M George Cherian","Both zinc and copper are essential minerals that are required for various cellular functions. Although these metals are essential, they can be toxic at excess amounts, especially in certain genetic disorders. Zinc and copper homeostasis results from a coordinated regulation by different proteins involved in uptake, excretion and intracellular storage/trafficking of these metals. Apart from zinc transporters (ZnT) families and Cu-ATPase, metallothionein is an important storage protein for zinc and copper. Metallothioneins are intracellular polypeptides with a remarkable ability to bind metallic ions. These proteins bind both essential metals indispensable for the organism and also toxic metals (e.g. cadmium or lead). Metallothioneins play a critical role to maintain zinc and copper homeostasis. In this review, we summarize the toxicity of zinc and copper and the potential treatment for zinc or copper toxicity by zinc- or copper-specific chelators as well as strategy to up-regulate metallothionein.",2005,Appenzeller-Herzog_2019,0
16313864,Hepatic Wilson's disease: initial treatment and long-term management.,J M Walshe,"This article is based on the experience of 320 patients with Wilson's disease who were seen between the years 1954 and 2000. These patients were seen at The Boston City Hospital, 1954 thru 1955, University College Hospital, London,1955 thru 1957; Addenbrooke's Hospital, Cambridge, 1967 thru 1987, and The Middlesex Hospital London, 1988 thru 2000. Wilson's disease is not strictly a gastroenterologic disease but a genetically determined metabolic disease that is mediated by a failure of copper excretion through the bile. The mutation carried on chromosome 13q14.3: it involves a copper-carrying ATPase (ATPase 7B); more than 250 mutations are now known. The first organ to be affected is the liver, then many other tissues, principally the brain but also the eyes, the kidneys, the bone marrow, and the osteoskeletal system. It is with the hepatic form of the disease that this article is concerned. The hepatic illness may be acute, subacute or chronic; it may be progressive or, apparently, self-limiting. In 10% of patients hemolysis may also be found which can later lead to the formation of pigment gallstones. The management of liver disease is not considered in this article, which is strictly confined to the therapeutic options available for the elimination of copper and the long-term welfare of the patient. It must be remembered that all close relatives of the patient must be screened for the presymptomatic stage of the disease so, if they are found to be homozygous carriers for the mutation, they can be started on preventive treatment.",2005,Appenzeller-Herzog_2019,0
16365517,"Inhibitory effects of trientine, a copper-chelating agent, on induction of DNA strand breaks in kidney cells of Long-Evans Cinnamon (LEC) rats.","Masanobu Hayashi, Kazuhiro Miyane, Misato Senou, Daiji Endoh, Hidetoshi Higuchi, Hajime Nagahata, Kenji Nakayama, Yasuhiro Kon, Toyo Okui","The effects of treatment with trientine, a specific copper-chelating agent, on the accumulation of copper and induction of DNA strand breaks were investigated in Long-Evans Cinnamon (LEC) rats, an animal model for human Wilson's disease. Copper accumulated in the kidneys of LEC rats in an age-dependent manner from 12 to 18 weeks of age. When LEC rats were treated with trientine from 10 weeks of age, renal copper contents did not increase and were maintained at the same levels as those in 4-week-old LEC rats. Estimation of the amounts of DNA single-strand breaks (SSBs) by comet assay showed that SSBs of DNA were induced in a substantial population of LEC rat renal cortex cells around 12 weeks of age and that the amounts of SSBs increased in an age-dependent manner from 12 to 18 weeks of age. When LEC rats were treated with trientine from 10 weeks of age, the observed number of cells with DNA damage decreased, suggesting that induction of SSBs of DNA was inhibited and/or SSBs were repaired during the period of treatment with trientine. The results show that SSBs of DNA in LEC rat kidney cells are induced prior to occurrence of clinical signs of hepatic injury and that treatment of LEC rats with trientine decreases the number of DNA strand breaks.",2005,Appenzeller-Herzog_2019,0
16222684,Homozygosity for a gross partial gene deletion of the C-terminal end of ATP7B in a Wilson patient with hepatic and no neurological manifestations.,"Lisbeth Birk Møller, Peter Ott, Connie Lund, Nina Horn","We identified a partial gene deletion of ATP7B in a patient with Wilson disease with hepatic onset. The deletion covered exon 20 including major parts of the flanking introns. The breakpoints were identified and the size of the deletion determined to be 2144 bp. The deletion is predicted to lead to a mutated protein product containing 45 aberrant amino acids after transmembrane domain 7, and lacking the transmembrane domain 8 as well as the entire C-terminal cytoplasmic tail. This is the first time a partial gene deletion has been demonstrated in ATP7B. The patient presented at age 10 with hepatic manifestations, including severe jaundice, hepato-splenomegaly, ascites, and spider naevi. The liver biopsy showed fibrosis and early signs of cirrhosis. There was a Kayser-Fleischer ring but no neurological manifestations. All symptoms disappeared with penicillamine therapy. This suggests that the C-terminal cytoplasmatic tail of ATP7B, is not essential for its neurological function. Large deletions in ATP7B may be an overlooked cause of Wilson disease. Patients that are homozygotes for deletions may be valuable for the understanding of the function of various regions of the ATP7B protein.",2005,Appenzeller-Herzog_2019,0
