PMID,Title,Authors,Abstract,Publication Year
16625935,High-repetition-rate white-light pump-probe spectroscopy with a tapered fiber.,"M Punke, F Hoos, C Karnutsch, U Lemmer, N Linder, K Streubel","We have realized a 76 MHz white-light differential transmission spectroscopy system. The technique employs a Ti:sapphire laser oscillator and a tapered fiber to generate a white-light continuum spanning almost the full visible to near-infrared spectral range. Using acousto-optical modulation and subsequent lock-in detection, transient relative transmission changes as small as 10(-5) are detected. The method is applied to study the ultrafast gain dynamics of the active layer of a vertical-external-cavity surface-emitting laser based on a multiple-quantum-well structure.",2006
16625936,"Neighborhood deterioration, social skills, and social relationships in late life.",Neal Krause,"This study is designed to test two hypotheses. The first specifies that older adults who live in dilapidated neighborhoods will receive less social support and encounter more negative interaction with family and friends. The second hypothesis proposes that the relationship between deteriorated neighborhood conditions and social relationships will depend upon whether older study participants have strong social skills. Data from a recent nationwide survey of older adults suggest that living in run-down neighborhoods is associated with more negative interaction; however, residing in disadvantaged neighborhoods is not related to the amount of support older people receive from significant others. But perhaps more important, the findings further reveal that the effects of living in run-down neighborhoods on social support and negative interaction are completely offset for older individuals who possess strong social skills.",2006
16625937,Cognitive abilities of Alzheimer's patients: perceptions of Black and White caregivers.,"Robert Burns, Linda O Nichols, Marshall J Graney, Jennifer Martindale-Adams, Allan Lummus","This study compared Black (n = 97) and White (n = 143) family caregivers regarding the relationship between subjective and objective cognitive assessments of Alzheimer's patients from the Memphis site of the NIA/NINR Resources for Enhancing Alzheimer's Caregivers Health (REACH) randomized clinical trial. Black and White caregivers' subjective ratings (Pearlin Cognitive Status Scale) of their care recipients' cognitive abilities were equivalent, but White Alzheimer's patients had higher objective cognitive performance (Mini-Mental State Examination). In simple regression analysis, race was significantly related to differences between subjective and objective cognitive assessments and remained so when caregiver age, sex, income, education, relationship to care recipient, caregiver bother (burden), and care recipient sex were statistically controlled in multiple regression analysis. Compared to the other group, Black caregivers generally overrated, and White caregivers underrated, their care recipient's cognitive ability. This difference in caregiver's appraisal may affect clinical and behavioral interventions for dementia patients and their caregivers.",2006
16625938,Physiological reactivity to cognitive stressors: variations by age and socioeconomic status.,"Shevaun D Neupert, Lisa M Soederberg Miller, Margie E Lachman","The present study focused on age and SES differences in stress reactivity in response to cognitively challenging tasks. Specifically, we assessed within-person trajectories of cortisol, a steroid hormone released by the adrenal gland in response to stressors, before, during, and after exposure to cognitively challenging tasks. We extend the current literature by simultaneously examining age and SES differences in physiological reactivity. Findings suggest that age and SES both play an important role in reactivity, such that it was the older adults with higher SES who were the most physiologically reactive to cognitive stressors. Implications of these findings for cognitive aging research are discussed.",2006
16625939,Bringing the law to the gerontological stage: a different look at movies and old age.,Israel Doron,"Films often portray the complexities of real-life aging issues, showing how they are apparently handled outside of and around the law or legal issues. Furthermore, films considering the aged and the social issues associated with aging also reveal how the law actually functions as a framework around and within which people develop customs, habits, and behaviors related to the issue of old age. Exposing these hidden socio-legal boundaries allows us to better understand both the films concerned and the place of law within our aging society. In an attempt to better understand these issues, this article deconstructs five relatively modern and well-known films. All feature aged protagonists, and all tell their stories against a background of legal issues that are only alluded to, and remain hidden ""behind the scenes."" Two main questions are addressed by this analysis: First, to what extent does the reality of old age as described in the films considered here reflect familiar social phenomena identified by empirical studies? And, second, to what extent does the legal infrastructure embedded in the narrative of these films reflect the legal regulations that govern the aged in today's society. The conclusions that arose from the analysis of the cinematic and the legal reality expressed in the films demonstrate that the current level of discourse on major issues in social gerontology ignores the importance and relevance of law. Therefore, it behooves us to ""bring the Law to the gerontological stage,"" where the current situation as it actually exists can be analyzed and perhaps even changed.",2006
16625940,"Understanding associations of control beliefs, social relations, and well-being in older adults with osteoarthritis.","Vanessa M Ferreira, Aurora M Sherman","Control beliefs and social relationships have been individually assessed in relation to adaptation to chronic illness, although only rarely together. Further, some control scales show psychometric limitations in older adult samples. To address these concerns, a scale assessing external control was created by factor analyzing the items from Levenson's (1974) control subscales. We tested the association of external control beliefs, measured with the new formulation of items, and two social relations variables (support and strain) to well-being measures in a sample of older adults reporting osteoarthritis (OA; N = 95, 72% female). We also compared the new formulation of items to the original subscales. The Levenson measures were significantly related to life satisfaction after controlling for social relations. However, the new externality scale was a stronger correlate than the chance subscale (though not different from powerful others). Only the new scale was related to depressive symptoms once social relations were controlled. In addition, social support was significantly associated with both outcomes.",2006
16625941,Possibilities for fertility restoration: a new surgical technique.,"Krishen Sieunarine, Faris B P Zakaria, Deborah C M Boyle, David J Corless, David E Noakes, Iain Lindsay, Andrew Lawson, Laszlo Ungar, Giuseppe Del Priores, J Richard Smith","Previously published work concluded that uterine artery microvascular anastomosis in the porcine model was feasible with subsequent normal vascular function in pregnancy. of the anastomosed vessels. The objective of this study was to assess the feasibility of uterine autotransplantation in a porcine model using microvascular anastomoses. Eight large white/landrace sows of proven fertility were used. A supracervical hysterectomy with or without bilateral salpingo-oophorectomy (BSO) was performed. After 1 hour of cold storage in a transplant solution, the specimen was reintroduced and followed by stepwise vascular reanastomosis. Objective perfusion index measurements suggested adequate uterine perfusion after transplantation. Postoperatively, sow 1 survived to 3 months with no signs of oestrus, and sows 2, 6, and 8 were killed on days 6, 33, and 54, respectively, for pelvic infection. Histopathology of the uterine grafts revealed gradual vessel thromboses. Microvascular reanastomosis is feasible, however, unsuccessful in uterine autotransplantation because of gradual vessel thromboses. The porcine model is highly susceptible to postoperative infection.",2005
16625942,Is it feasible to use a large vessel patch with a uterine allograft en bloc for uterine transplantation?,"Krishen Sieunarine, Nadey S Hakim, David J Corless, David E Noakes, Laszlo Ungar, Giuseppe Del Priore, J Richard Smith","Uterine auto-transplantation in the porcine model using a microvascular anastomotic technique failed because of gradual vessel thromboses. A macrovascular patch harvest with the uterus en bloc is probably less likely to undergo vessel thrombosis. The objective of this study was to assess the feasibility of an aortic/inferior vena caval vascular patch harvest with the uterus en bloc for uterine cross-transplantation purposes. A preserved human cadaver and freshly killed porcine and rabbit cadaveric models were used. The infrarenal aorta, inferior vena cava, common and internal iliac vessels and the uterine arterial and venous tree together with the uterus en bloc were successfully harvested intact as a large vessel patch and graft in both animal and human models. A macrovascular patch for uterine cross-transplantation is technically easy and feasible to harvest en bloc with the uterus in fresh cadaveric donors. This technique precludes live donors and makes cadaveric organ donation essential.",2005
16625943,Leiomyosarcoma of the inferior vena cava: a case report and review of literature.,"Vinaykumar B Thapar, Rajeev R Satoskar, Geeta M Kanjan, Apurva S Chaudhary","Tumors of the inferior vena cava are rare, and most of these are leiomyosarcomas. They are most frequent in the sixth decade of life, with a female predominance. We present a 45-year-old male patient with a tumor involving the entire extent of the inferior vena cava. Computerized tomography revealed a heterogeneously enhancing mass with marked expansion of the inferior vena cava with extraluminal extension. Computerized tomography--guided biopsy of the extraluminal component showed features of a fasciculated spindle cell tumor positive for vimentin, smooth muscle actin, and calponin and negative for S-100 antigen. We discuss the clinical presentation imaging findings and review the literature.",2005
16625944,Anatomic resection for severe blunt liver trauma.,"Tung-Yen Lee, Yao-Li Chen, Hung-Chi Chang, Li-Heng Yang, Chien-Pin Chan, Shou-Tung Chen, Shou-Jen Kuo","Despite recent advances in management of severe blunt liver trauma, the operative mortality rate in patients with complicated blunt liver trauma (grades IV and V) is still high. The purpose of this study was to assess the results of anatomic liver resection for severe liver trauma in the institution in which liver transplant surgeons are responsible for the management of liver injuries.",2005
16625946,Extra-adrenal nonfunctional retroperitoneal paraganglioma: case report and review of the literature.,"Gheorghe Ghidirim, Gheorghe Rojnoveanu, Igor Mishin, Eugen Gutsu, Iraida Iakovleva","An extra-adrenal paraganglioma is a rare tumor derived from the chromaffin cells of sympathetic ganglia. This report documents a rare case of nonfunctional extra-adrenal paraganglioma in a 20-year-old woman with persistent flank pain. Ultrasonography and computed tomography revealed a solid mass with calcification in center, measuring 7 x 6 x 6 cm, and localized in the left upper para-aortal retroperitoneal region. Absence of typical clinical symptoms made a correct preoperative diagnosis unlikely. Tumor was successfully removed through a midline laparotomy incision, and pathological analysis of the surgical specimen revealed a paraganglioma. After 12 months, the patient is still in a good health, asymptomatic, and without evidence of tumor recurrence. This case emphasizes the necessity to include extra-adrenal paraganglioma in the differential diagnosis and management of retroperitoneal tumors, despite its rarity.",2005
16625954,"Staying ""connected''.",Richard C Black,,2006
16625948,Endoscopic thoracic sympathetic block by clipping for recurrent palmar hyperhidrosis.,"Shu-Chen Chen, Chia-Yu Lin, Ming-Chih Chou, Ya-Hui Chen, Cheng-Jen Shy, Chen-Tay Hou, Hsin-Yuan Fang, Torng-Sen Lin","Postoperative complications of endoscopic thoracic sympathectomy may be troublesome in some patients. Between January 1998 and September 2002, a total of 16 patients with recurrent palmar hyperhidrosis underwent video-assisted thoracoscopic T2 and T3 sympathetic block. There were seven men and nine women, with a mean age of 21.1 years (range, 12-35 years). All patients were placed in a semi-sitting position under single-lumen intubated anesthesia. We performed the T2 sympathetic block for patients with still intact T2 ganglion using an 8-mm, 0 degrees thoracoscope. An additional T3 block should be given if patients received either previous T2 sympathectomy or elevated palmar temperature <1 degrees C after T2 sympathetic block. The mean operation time was 30 minutes. The level of sympathetic blocks were the T2 and T3 in five patients, only T2 block in four, patients, and only T3 block in seven patients. Improvement of palmar hyperhidrosis can be obtained in all patients. One patient received a reverse operation 12 days after the T2 and T3 clipping and obtained improvement of troublesome compensatory sweating and dry hands 1 day after removal of all clips. All patients obtained improvement of palmar hyperhidrosis without recurrence after a mean of 37.1 months of follow-up (range, 12-56 months). Endoscopic thoracic T2 with or without T3 sympathetic block by clipping is a safe and effective method in treating patients with recurrent palmar hyperhidrosis.",2005
16625955,Chronic headache.,Steven B Graff-Radford,,2006
16625956,Cerviogenic headache.,Steven D Bender,"Cervicogenic headache has historically been misdiagnosed, ultimately leading to misguided therapies. Even with the growing body of literature in the field of headache, this particular entity is still vastly understudied. Efforts should be made to encourage appropriate clinical studies in order to provide evidence based therapeutic modalities for this patient population. The dental professional is provided with the unique opportunity to see these patients on a regular basis without the time constraints now shouldered by our physician colleagues. The goal of any health care provider should be to provide the most comprehensive, multi-modal and/or multidisciplinary care possible in our field of expertise. Expanding our practice model to include a more comprehensive approach to patient care has the potential to not only help an underserved population of pain patients but also provide the practitioner with the reward of heartfelt gratitude when pain relief is provided.",2006
16625945,Carcinoid tumor of the thymus: a clinicopathologic report of two cases with a review of the literature.,"Shi-Ping Luh, Chih Kuo, Wen-Shan Liu, Tzu-Chin Wu, Chiew-Loon Koo, Jia-Yuh Chen","Thymic carcinoid, a tumor with neuroendocrine-derived cells, is extremely rare. Its clinical and pathological features are distinct from other thymic tumors or carcinoids in other organs. The prognosis is poorer compared with other thymic tumors. Herein, we describe two cases with thymic carcinoids that were completely resected and underwent radiotherapy after surgery. The postoperative follow-up periods were 7 years and 7 months. These rare cases are discussed in light of the clinico-pathological picture of thymic carcinoid reported in the literature.",2005
